2026-09-17 12:15:39 +1000 Assertions          	PID 72271(AddressBookSourceSync) Summary PreventUserIdleSystemSleep "Address Book Source Sync" 00:00:54  id:0x0x100008d76 [System: PrevIdle DeclUser kDisp]          
2026-09-17 12:15:39 +1000 Assertions          	PID 227(WindowServer) Summary UserIsActive "com.apple.iohideventsystem.queue.tickle serviceID:10000d113 service:AppleHIDKeyboardEventDriverV2 product:Apple Internal Keyboard / Trackpad eventType:3" 14:27:53  id:0x0x900008123 [System: PrevIdle DeclUser kDisp]          
2026-09-17 12:15:39 +1000 Assertions          	PID 179(bluetoothd) Summary UserIsActive "Bluetooth LE HID Activity" 17:30:20  id:0x0x900008601 [System: PrevIdle DeclUser kDisp]          
2026-09-17 12:18:40 +1000 Assertions          	PID 72271(AddressBookSourceSync) Released PreventUserIdleSystemSleep "Address Book Source Sync" 00:03:55  id:0x0x100008d76 [System: PrevIdle DeclUser kDisp]          
2026-09-17 12:23:15 +1000 Assertions          	PID 72723(xcodebuild) Released PreventUserIdleSystemSleep "Xcode running tests." 00:05:26  id:0x0x100008da3 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11424.preventuseridledisplaysleep" 00:06:16  id:0x0x500008d8f [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11424.preventuseridlesleep" 00:06:16  id:0x0x100008d8e [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11425.preventuseridledisplaysleep" 00:06:16  id:0x0x500008d91 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11425.preventuseridlesleep" 00:06:16  id:0x0x100008d90 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11426.preventuseridledisplaysleep" 00:06:16  id:0x0x500008d93 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11426.preventuseridlesleep" 00:06:16  id:0x0x100008d92 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11427.preventuseridledisplaysleep" 00:06:17  id:0x0x500008d95 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11427.preventuseridlesleep" 00:06:17  id:0x0x100008d94 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11428.preventuseridledisplaysleep" 00:06:17  id:0x0x500008d97 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11428.preventuseridlesleep" 00:06:17  id:0x0x100008d96 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11429.preventuseridledisplaysleep" 00:06:17  id:0x0x500008d99 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11429.preventuseridlesleep" 00:06:17  id:0x0x100008d98 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11430.preventuseridledisplaysleep" 00:06:17  id:0x0x500008d9b [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11430.preventuseridlesleep" 00:06:17  id:0x0x100008d9a [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11431.preventuseridledisplaysleep" 00:06:17  id:0x0x500008d9d [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11431.preventuseridlesleep" 00:06:17  id:0x0x100008d9c [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11432.preventuseridledisplaysleep" 00:06:17  id:0x0x500008d9f [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11432.preventuseridlesleep" 00:06:17  id:0x0x100008d9e [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context11433.preventuseridledisplaysleep" 00:06:16  id:0x0x500008da1 [System: DeclUser kDisp]          
2026-09-17 12:23:29 +1000 Assertions          	PID 246(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context11433.preventuseridlesleep" 00:06:16  id:0x0x100008da0 [System: DeclUser kDisp]          
2026-09-17 12:25:00 +1000 Assertions          	PID 353(mds_stores) Released BackgroundTask "com.apple.metadata.mds_stores.power" 00:04:35  id:0x0xb00008da8 [System: PrevIdle DeclUser kDisp]          
